sample ID,idTaxon,secteur,iNaturalist observation
DBGI_01_08_B,ND,ND,ND
DBGI_01_08_01,Saintpaulia ionantha,Serre 4,https://www.inaturalist.org/observations/111312445
DBGI_01_08_02,Saintpaulia grotei,Serre 4,https://www.inaturalist.org/observations/111315673
DBGI_01_08_03,Streptocarpus sp. 2007- 547- 626,Serre 4,https://www.inaturalist.org/observations/111315856
DBGI_01_08_04,Kohleria hirsuta,Serre 4,https://www.inaturalist.org/observations/111316105
DBGI_01_08_05,Streptocarpus sp. 433,Serre 4,https://www.inaturalist.org/observations/111316329
DBGI_01_08_06,Streptocarpus caulescens,Serre 4,https://www.inaturalist.org/observations/111316572
DBGI_01_08_07,Columnea hirta,Serre 4,https://www.inaturalist.org/observations/111316921
DBGI_01_08_08,Columnea microcalyx,Serre 4,https://www.inaturalist.org/observations/111317283
DBGI_01_08_09,Episcia punctate,Serre 4,https://www.inaturalist.org/observations/111317409
DBGI_01_08_10,Aeschynanthus longicaulis ,Serre 4,
DBGI_01_08_11,Aeschynanthus fulgens,Serre 4,
DBGI_01_08_12,Aeschynanthus radicans,Serre 4,
DBGI_01_08_13,Sinningia cardinalis,Serre 4,
DBGI_01_08_14,Sinningia leucotricha ,Serre 4,
DBGI_01_08_15,Kohleria digitaliflora ,Serre 4,
